state;postcode;locality;division
D;846;Grove Hill;LINGIARI
D;846;Oolloo Stn;LINGIARI
D;847;Bonrook Stn;LINGIARI
D;847;Moline Dam;LINGIARI
D;850;Grave Yard Camp;LINGIARI
D;850;Ironwood Stn;LINGIARI
D;850;Tamarind Stn;LINGIARI
D;852;Ballongilly Stn;LINGIARI
D;852;Bishops Bore;LINGIARI
D;852;Cape Crawford;LINGIARI
D;852;Claravale Stn;LINGIARI
D;852;Clarence Stn;LINGIARI
D;852;Cow Creek Stn;LINGIARI
D;852;Dunmarra Wayside Inn;LINGIARI
D;852;Fitzroy Stn;LINGIARI
D;852;Forrest Hill Stn;LINGIARI
D;852;Gregory National Park;LINGIARI
D;852;Jomet;LINGIARI
D;852;Kalumbulani;LINGIARI
D;852;Keep River;LINGIARI
D;852;Kumbidgee Stn;LINGIARI
D;852;Larrizona Stn;LINGIARI
D;852;Line Creek;LINGIARI
D;852;Mataranka Stn;LINGIARI
D;852;Mt Catt;LINGIARI
D;852;Nathan River Stn;LINGIARI
D;852;Nenen Stn;LINGIARI
D;852;Phosphate Hill;LINGIARI
D;852;Rosewood Stn;LINGIARI
D;852;Snake Lagoon;LINGIARI
D;852;Stapleton Stn;LINGIARI
D;852;Sturt Plains Stn;LINGIARI
D;852;Stylo Stn;LINGIARI
D;852;Vermelha Stn;LINGIARI
D;852;Waterloo Stn;LINGIARI
D;852;Western Creek Stn;LINGIARI
D;852;Willeroo Stn;LINGIARI
D;852;Wyworrie Stn;LINGIARI
D;854;Garrinjinny;LINGIARI
D;854;Kangaroo Island;LINGIARI
D;854;South West Island;LINGIARI
D;854;Spring Creek Stn;LINGIARI
D;854;Tarrinjinyi;LINGIARI
D;854;Yameeri;LINGIARI
D;860;Goose River;LINGIARI
D;860;Gulunguru;LINGIARI
D;860;Kurraya;LINGIARI
D;860;Ngurrara;LINGIARI
D;860;Nicholson River;LINGIARI
D;860;Wiitin;LINGIARI
D;862;Barkly Homestead;LINGIARI
D;862;Blue Bush;LINGIARI
D;862;Epenarra Stn;LINGIARI
D;862;Hatches Creek;LINGIARI
D;862;Murunmurula;LINGIARI
D;862;O T Downs Stn;LINGIARI
D;862;Pakulki;LINGIARI
D;862;Soudan Stn;LINGIARI
D;862;Wangalinji;LINGIARI
D;872;Alatyeye;LINGIARI
D;872;Amundurrngu Spring;LINGIARI
D;872;Angas Downs;LINGIARI
D;872;Angkerle Arrenge A;LINGIARI
D;872;Angula;LINGIARI
D;872;Anyumgyumba;LINGIARI
D;872;Arid Gold Farm;LINGIARI
D;872;Athenge Lhere;LINGIARI
D;872;Atula Stn;LINGIARI
D;872;Boomerang Bore;LINGIARI
D;872;Burt Plain;LINGIARI
D;872;Camel's Hump;LINGIARI
D;872;Deep Well Stn;LINGIARI
D;872;Derwent Stn;LINGIARI
D;872;Erldunda Stn;LINGIARI
D;872;Five Mile;LINGIARI
D;872;Gem Tree;LINGIARI
D;872;Greenwood;LINGIARI
D;872;Henbury Stn;LINGIARI
D;872;Ilkarralalama;LINGIARI
D;872;Inyilingi;LINGIARI
D;872;Irrowa;LINGIARI
D;872;Itperlyenge;LINGIARI
D;872;Jarra Jarra;LINGIARI
D;872;Jungarrayi Warrnu;LINGIARI
D;872;Junkaji;LINGIARI
D;872;Katjutari;LINGIARI
D;872;Ltira;LINGIARI
D;872;Luntharra;LINGIARI
D;872;Lyilyalanama;LINGIARI
D;872;Mt Peachy;LINGIARI
D;872;Ngankiritja;LINGIARI
D;872;Ntakarra;LINGIARI
D;872;Numery Stn;LINGIARI
D;872;Old Station;LINGIARI
D;872;Ooraminna Stn Hmstd;LINGIARI
D;872;Patsys Camp;LINGIARI
D;872;Perety;LINGIARI
D;872;Pertarratenge;LINGIARI
D;872;Rutjinka;LINGIARI
D;872;Sixteen Mile Bore;LINGIARI
D;872;Sixteen Mile Creek;LINGIARI
D;872;Tnawurta;LINGIARI
D;872;Todd River Downs;LINGIARI
D;872;Trephina Gorge Nature Pk;LINGIARI
D;872;Tywenpe A;LINGIARI
D;872;Urrermerne;LINGIARI
D;872;Victory Downs Stn;LINGIARI
D;872;Welere;LINGIARI
D;872;White Range Gold Mine;LINGIARI
D;880;Baygurrtji;LINGIARI
D;880;Dhupuwamirri;LINGIARI
D;880;Gulkula;LINGIARI
D;880;Gurkawuy;LINGIARI
D;880;Yudu Yudu;LINGIARI
D;886;Buffalo Farm;LINGIARI
D;886;Kunkarra;LINGIARI
D;822;Blackbull Stn;LINGIARI
D;822;Bullo River Stn;LINGIARI
D;822;Bundatharri;LINGIARI
D;822;Bynoe Harbour;LINGIARI
D;822;Ceres Downs Stn;LINGIARI
D;822;Damdam;LINGIARI
D;822;Dhambala;LINGIARI
D;822;Dhayirri;LINGIARI
D;822;Djurranalpi;LINGIARI
D;822;Elizabeth Downs;LINGIARI
D;822;Fossil Head;LINGIARI
D;822;Garanydjirr;LINGIARI
D;822;Garriyak;LINGIARI
D;822;Gudjekbin;LINGIARI
D;822;Gugodbabuldi;LINGIARI
D;822;Hunters Camp;LINGIARI
D;822;Kakodbabuldi;LINGIARI
D;822;Kelerrk;LINGIARI
D;822;Kudantiga;LINGIARI
D;822;Kurrurldul;LINGIARI
D;822;La Belle Downs Stn;LINGIARI
D;822;Litchfield National Park;LINGIARI
D;822;Litchfield Stn;LINGIARI
D;822;Marlwon;LINGIARI
D;822;Mary River Park;LINGIARI
D;822;Mary River Stn;LINGIARI
D;822;Mary River Wilderness Ret;LINGIARI
D;822;Melaleuca Stn;LINGIARI
D;822;Mt Bundey Stn;LINGIARI
D;822;Mt Kepler Stn;LINGIARI
D;822;Murgenella Plains;LINGIARI
D;822;Ngayawilli;LINGIARI
D;822;Ruby Downs Stn;LINGIARI
D;822;Shoal Bay;LINGIARI
D;822;Takapimiliyi;LINGIARI
D;822;Tivendale;SOLOMON
D;822;Wudaduk;LINGIARI
D;822;Yilan;LINGIARI
